engine_id,fault_mode,total_cycles_to_failure,engine_family
1,cylinder_wear,190,Rotax_912_914_class
2,cooling_degradation,498,Rotax_912_914_class
3,bearing_wear,492,Rotax_912_914_class
4,fuel_system_drift,488,Rotax_912_914_class
5,cylinder_wear,401,Rotax_912_914_class
6,cooling_degradation,152,Rotax_912_914_class
7,bearing_wear,289,Rotax_912_914_class
8,fuel_system_drift,560,Rotax_912_914_class
9,cylinder_wear,311,Rotax_912_914_class
10,cooling_degradation,533,Rotax_912_914_class
11,bearing_wear,363,Rotax_912_914_class
12,fuel_system_drift,317,Rotax_912_914_class
13,cylinder_wear,212,Rotax_912_914_class
14,cooling_degradation,362,Rotax_912_914_class
15,bearing_wear,163,Rotax_912_914_class
16,fuel_system_drift,236,Rotax_912_914_class
17,cylinder_wear,576,Rotax_912_914_class
18,cooling_degradation,377,Rotax_912_914_class
19,bearing_wear,212,Rotax_912_914_class
20,fuel_system_drift,579,Rotax_912_914_class
21,cylinder_wear,310,Rotax_912_914_class
22,cooling_degradation,367,Rotax_912_914_class
23,bearing_wear,209,Rotax_912_914_class
24,fuel_system_drift,339,Rotax_912_914_class
25,cylinder_wear,569,Rotax_912_914_class
26,cooling_degradation,449,Rotax_912_914_class
27,bearing_wear,241,Rotax_912_914_class
28,fuel_system_drift,506,Rotax_912_914_class
29,cylinder_wear,217,Rotax_912_914_class
30,cooling_degradation,416,Rotax_912_914_class
31,bearing_wear,463,Rotax_912_914_class
32,fuel_system_drift,411,Rotax_912_914_class
33,cylinder_wear,429,Rotax_912_914_class
34,cooling_degradation,159,Rotax_912_914_class
35,bearing_wear,568,Rotax_912_914_class
36,fuel_system_drift,246,Rotax_912_914_class
37,cylinder_wear,294,Rotax_912_914_class
38,cooling_degradation,534,Rotax_912_914_class
39,bearing_wear,327,Rotax_912_914_class
40,fuel_system_drift,231,Rotax_912_914_class
