engine_id,cycle,altitude_m,flight_phase,ambient_temp_C,ambient_pressure_kPa,throttle_pct,rpm,manifold_pressure_kPa,EGT_C,CHT_C,oil_temp_C,oil_pressure_kPa,fuel_flow_Lph,vibration_g_rms,fault_mode,RUL_cycles
1,1,0.0,taxi,14.76,100.64,13.9,2325,43.57,706.3,158.2,93.7,414.9,10.21,0.917,cylinder_wear,189
1,2,150.2,taxi,12.47,99.62,12.2,2308,43.15,700.2,155.2,93.6,402.9,9.27,0.815,cylinder_wear,188
1,3,300.4,taxi,10.54,97.79,13.7,2228,43.46,701.6,155.9,93.0,417.5,10.48,0.922,cylinder_wear,187
1,4,450.7,takeoff,11.34,96.15,96.4,5402,93.25,816.3,195.9,109.9,399.7,21.9,1.483,cylinder_wear,186
1,5,600.9,takeoff,11.01,94.8,90.3,5195,89.8,797.6,199.5,109.6,394.6,20.76,1.328,cylinder_wear,185
1,6,751.1,takeoff,12.77,92.0,96.9,5541,91.31,817.0,204.7,107.8,385.8,21.63,1.39,cylinder_wear,184
1,7,901.3,takeoff,9.34,90.78,93.4,5360,88.3,799.2,195.3,110.4,403.4,20.99,1.309,cylinder_wear,183
1,8,1051.5,takeoff,9.64,89.49,98.4,5572,89.11,809.0,200.6,106.9,402.6,22.06,1.275,cylinder_wear,182
1,9,1201.8,takeoff,6.44,87.22,87.8,5091,81.67,806.2,193.0,108.2,392.3,20.15,1.264,cylinder_wear,181
1,10,1352.0,climb,4.43,86.55,82.6,4896,74.89,795.6,190.5,106.9,397.5,19.67,1.21,cylinder_wear,180
1,11,1502.2,climb,3.79,84.64,79.9,4856,73.28,795.1,191.9,104.8,390.3,19.55,1.186,cylinder_wear,179
1,12,1652.4,climb,3.17,83.24,82.5,4938,72.9,787.6,186.7,106.5,392.0,19.33,1.357,cylinder_wear,178
1,13,1802.6,climb,6.48,81.29,85.7,5080,73.86,786.2,196.3,105.9,396.6,19.76,1.306,cylinder_wear,177
1,14,1952.9,climb,1.07,80.21,84.5,5002,71.52,789.3,195.8,104.7,412.1,19.35,1.299,cylinder_wear,176
1,15,2103.1,climb,2.59,78.8,84.2,5012,70.55,790.5,192.4,106.1,395.5,19.37,1.266,cylinder_wear,175
1,16,2253.3,climb,-1.0,77.1,84.5,5018,71.21,790.2,185.7,104.7,407.5,19.11,1.274,cylinder_wear,174
